Topic 0:
	awoo	0.25447997
	ohmydog	0.13989376
	awooo	0.025184914
	vohiyo	0.019931003
	awoooo	0.019242428
	biblethump	0.017742658
	hahaa	0.017544575
	elegiggle	0.010206078
	auu	0.0059142825
	au	0.0058954176
	frankerz	0.0054426566
	ralpherz	0.0047635157
	bark	0.0046691904
	feelsbirthdayman	0.004348485
	awooooo	0.004348485
	notsquishy	0.003990049
	turkey	0.0035561533
	noob	0.0034995582
	aou	0.0033769354
	spartans	0.0033580705
	poottang	0.002801552
	peru	0.0027921195
	lets	0.002763822
	budstar	0.0026694967
	oo	0.0026506316
	riot	0.0025374414
	aoo	0.002471414
	sparta	0.0024619813
	ad	0.0024525488
Topic 12:
	sheever	0.062405787
	1	0.039201126
	press	0.026259663
	chat	0.023414006
	kreygasm	0.020516038
	stfu	0.01696943
	lul	0.015316437
	sex	0.013684369
	kappa	0.011246729
	gay	0.009102023
	manners	0.008589387
	dont	0.008558
	stop	0.008526615
	swiftrage	0.008359224
	type	0.0083383
	im	0.008233679
	guys	0.008223218
	4head	0.007993054
	kappapride	0.007815201
	wutface	0.0077942763
	twitch	0.007522265
	show	0.0070828623
	respect	0.0070305523
	shut	0.007009628
	mom	0.006716693
	women	0.006402834
	ur	0.0060994364
	fast	0.005775115
	dick	0.0055031036
	talk	0.00537756
Topic 13:
	dansgame	0.27312797
	unclenox	0.122462995
	◕	0.04034858
	つ	0.03603619
	frankerz	0.032201298
	╱	0.020248972
	ᕙ	0.020129599
	egm	0.013504338
	donger	0.009967882
	energy	0.0091621075
	giff	0.007938524
	lul	0.00765501
	choke	0.006625409
	2gd	0.0064761913
	alliance	0.006371739
	talk	0.005282451
	memes	0.004894485
	ssssss	0.0042677717
	living	0.0041483976
	mau5	0.004103632
	give	0.004103632
	mighty	0.003939493
	chat	0.0038798058
	time	0.0037455098
	lulda	0.0037305881
	faster	0.0037007446
	kick	0.0036858227
	loda	0.0036410575
	4head	0.0035962923
	stronger	0.003551527
Topic 14:
	feelsbadman	0.12901664
	kkona	0.10307122
	icecold	0.063087165
	sosnowy	0.038973562
	santahat	0.03715754
	cigrip	0.030888317
	osfrog	0.021160757
	biersderp	0.016881263
	lul	0.012601769
	pogchamp	0.011622696
	4	0.011527947
	wutface	0.010848913
	20	0.009396096
	vapenation	0.00838544
	420	0.008306483
	kappa	0.0076590315
	feelsgoodman	0.007564283
	subs	0.0070747463
	✔	0.006837874
	gaben	0.006506253
	europe	0.0060482994
	1	0.005858802
	dream	0.0055429717
	test	0.005432431
	vohiyo	0.0049902694
	chat	0.0047849803
	touch	0.0046112738
	arms	0.0045796908
	biblethump	0.0045796908
	3	0.0045638992
Topic 15:
	s4	0.062414017
	mvp	0.059812825
	pogchamp	0.05941378
	jerax	0.04361448
	kreygasm	0.041737486
	god	0.041057628
	lul	0.030357262
	deilluminati	0.024800166
	4head	0.010981324
	qop	0.00897131
	dream	0.008572264
	osfrog	0.008158437
	notail	0.007596816
	322	0.0074933595
	spirit	0.007419462
	kappa	0.006813502
	rune	0.0066804863
	chuan	0.00657703
	gg	0.006503132
	fly	0.0064587938
	lol	0.0063405577
	wutface	0.006000629
	million	0.005719818
	carl	0.005601582
	rubick	0.0054981257
	wtf	0.005305992
	dollar	0.0050251815
	ana	0.004552237
	control	0.004522678
	es	0.0044783396
Topic 16:
	9k	0.13578054
	lul	0.05559813
	mmr	0.041753422
	4head	0.03594522
	pogchamp	0.028955897
	miracle	0.018861558
	kappa	0.01860585
	2k	0.01524513
	kreygasm	0.014380597
	chat	0.011835704
	3k	0.01048411
	1k	0.009899636
	aui	0.009424752
	elegiggle	0.009315163
	8k	0.008548042
	4k	0.00641715
	5k	0.006015325
	player	0.005674382
	brokeback	0.005601323
	tinker	0.005272557
	dota	0.0051629683
	1	0.005138615
	build	0.0050533796
	failfish	0.0049559674
	seemsgood	0.0047733192
	6k	0.0047246134
	7k	0.0046150247
	sobayed	0.0045176125
	trash	0.0044323765
	lol	0.0043349643
Topic 17:
	mrdestructoid	0.4931345
	vohiyo	0.10742157
	audio	0.05737525
	fixed	0.04395267
	spam	0.043666866
	malfunction	0.041870385
	production	0.013432889
	fix	0.013116464
	team	0.011789517
	message	0.011656822
	shitty	0.011493505
	garbage	0.01117708
	epicenter	0.0053078905
	en1	0.005154781
	pyramid	0.0042769546
	weebs	0.0036032738
	weeb	0.0034399573
	perfect	0.002357985
	anime	0.0022559122
	higher	0.0021334246
	real	0.0021334246
	build	0.0021232173
	line	0.0020619736
	5	0.0020109373
	wrenches	0.0019803154
	ee	0.0018680352
	humans	0.0015924386
	chan	0.0014393292
	000000000000000000	0.0014291219
	brothers	0.0013985
Topic 18:
	raffle	0.13295197
	vislaud	0.06504206
	pogchamp	0.029226393
	giveaway	0.020503582
	clip	0.015573298
	lul	0.013511112
	enter	0.012989639
	won	0.0121126175
	kappa	0.011425222
	gg	0.009600069
	4head	0.0093156295
	admiralfeels	0.009149707
	haha	0.009126004
	osfrog	0.0083912015
	vac	0.008248982
	type	0.0071586305
	god	0.006708268
	torille	0.0065897517
	awoo	0.0056890263
	fired	0.0053571803
	mode	0.0053097736
	report	0.005191257
	arcana	0.004740895
	gigaway	0.004693488
	kreygasm	0.004337939
	gachigasm	0.0041483124
	fake	0.0041483124
	epic	0.0041009057
	suomi	0.0039112796
	team	0.0038401696
Topic 19:
	babyrage	0.42206264
	admirals4	0.028082065
	join	0.015300126
	tbcheesepull	0.013193739
	team	0.012494801
	im	0.011862885
	tbtacoright	0.010589478
	back	0.01055118
	tbtacoleft	0.009517135
	rtz	0.009067135
	newbee	0.0075064935
	pls	0.0072192587
	gg	0.0069033005
	secret	0.0066256407
	win	0.005476702
	kick	0.005457553
	arteezy	0.0052947868
	liquid	0.0052277655
	kuro	0.00515117
	end	0.0051415954
	og	0.005103297
	time	0.0043373383
	rtc	0.0042990404
	boy	0.0040118056
	bcouch	0.003523507
	feed	0.0034086131
	watch	0.003169251
	admiralti	0.0031596764
	puppeyface	0.0030447827
	ruined	0.0028341438
Topic 20:
	3154	0.23694144
	322	0.04531522
	pogchamp	0.04010014
	lul	0.03665016
	lmao	0.02543372
	rekt	0.02015445
	orgy	0.017619118
	4head	0.01684889
	kappa	0.016239127
	riki	0.014698671
	crowd	0.014008676
	vac	0.012837288
	savage	0.012452174
	gg	0.011152415
	kreygasm	0.008793592
	ee	0.0080715045
	failfish	0.007140813
	lol	0.006996395
	9k	0.006771745
	aliens	0.0066273278
	3222	0.006290353
	swiftrage	0.0061940746
	notlikethis	0.0057768677
	war	0.0054559396
	644	0.0053596613
	rapira	0.0048943153
	spartans	0.004589434
	chat	0.004589434
	sama	0.0043487377
	feed	0.0041240877
Topic 21:
	notlikethis	0.10240487
	lul	0.029686043
	durka	0.025968045
	wutface	0.022148382
	sheever	0.017733257
	wtf	0.013172899
	4head	0.011618892
	stfu	0.011226759
	lol	0.010660346
	failfish	0.010413447
	tobi	0.0103844
	pogchamp	0.009600135
	puke	0.009324189
	purge	0.008917534
	kreygasm	0.008278502
	brokeback	0.007871847
	gg	0.007770182
	gareth	0.006869729
	seemsgood	0.006463073
	kappa	0.006187128
	dansgame	0.0060999873
	casting	0.005925706
	arcana	0.005853089
	cast	0.005824042
	godz	0.0057369014
	swiftrage	0.0055480967
	ravage	0.005315722
	axe	0.004952636
	sexpanda	0.0048945425
	pls	0.004676691
Topic 22:
	vote	0.22879353
	af	0.13653228
	og	0.10251909
	dc	0.05663771
	kapow	0.051058322
	lul	0.022682043
	✓	0.020342916
	er	0.015933089
	singsingmurica	0.0155879725
	cy	0.012903729
	anele	0.009682639
	pogchamp	0.0072476473
	biblethump	0.006614933
	energy	0.0060205646
	twanhey	0.005464543
	win	0.0048318286
	finals	0.004160768
	vohiyo	0.0040840753
	newbee	0.0035663997
	lost	0.0030487243
	zap	0.0030295511
	swiftrage	0.0030295511
	feelsgoodman	0.003010378
	bigdaddynobrain	0.002876166
	aborted	0.0028378195
