match_id,match_seq_num,game_mode,start_time,date,radiant_win,league_id,league_name,league_prize_pool,radiant_name,radiant_team_id,radiant_captain,radiant_team_complete,dire_name,dire_team_id,dire_captain,dire_team_complete,r1_account_id,r2_account_id,r3_account_id,r4_account_id,r5_account_id,d1_account_id,d2_account_id,d3_account_id,d4_account_id,d5_account_id,duration,first_blood_time,negative_votes,positive_votes,human_players
262561359,238239868,2,1375579309,2013-08-04,False,65006,The International 2013 Pass,2874380,Invasion MUFC,497529,,1,DK,7,,1,91143798,80576254,89268488,96708830,86762037,90882159,90892734,89399750,91698091,89407113,1525,47,98,1759,10
262580105,238257972,2,1375582326,2013-08-04,False,65006,The International 2013 Pass,2874380,Invasion MUFC,497529,,1,DK,7,,1,91143798,89268488,80576254,96708830,86762037,89399750,90892734,90882159,91698091,89407113,1551,115,73,1793,10
262579147,238261032,2,1375582346,2013-08-04,False,65006,The International 2013 Pass,2874380,mousesports,26,,1,Fnatic,350190,,1,4281729,86799300,86738694,31078647,21289303,19672354,94155156,100317750,8712306,21265941,2021,131,91,1885,10
262584768,238263828,2,1375582925,2013-08-04,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,Zenith,2,,1,87278757,89625472,70388657,82262664,86723143,93670407,84772440,82630959,121052479,85417034,1854,484,241,6322,10
262603145,238280918,2,1375585439,2013-08-04,True,65006,The International 2013 Pass,2874380,Fnatic,350190,,1,mousesports,26,,1,94155156,19672354,100317750,8712306,21265941,86799300,4281729,86738694,31078647,21289303,1781,170,83,1733,10
262604402,238284891,2,1375585589,2013-08-04,False,65006,The International 2013 Pass,2874380,Virtus.pro,1883502,,1,Orange.Neolution Esports,416900,,1,93712171,26316691,91931211,86840554,107644273,89249333,89871557,89330493,91644707,93616251,2177,299,169,1949,10
262613112,238284642,2,1375586605,2013-08-04,True,65006,The International 2013 Pass,2874380,Invictus Gaming,5,,1,LGD-GAMING.int,77666,,1,82327674,90137663,88585077,90045009,88553213,87196890,87382579,87586992,31818853,87285329,1124,149,193,3270,10
262629776,238303277,2,1375588789,2013-08-04,False,65006,The International 2013 Pass,2874380,RaTtLeSnAkE. CN GaMiNg,496774,,1,Alliance,111474,,1,89246836,99460568,89423756,88521435,89296893,41288955,41231571,101495620,3916428,76482434,1408,84,248,6263,10
262632760,238310107,2,1375588926,2013-08-04,False,65006,The International 2013 Pass,2874380,Invictus Gaming,5,,1,LGD-GAMING.int,77666,,1,82327674,90137663,88585077,90045009,88553213,87196890,87382579,87586992,31818853,87285329,2142,158,416,4314,10
262632112,238309815,2,1375588988,2013-08-04,False,65006,The International 2013 Pass,2874380,Virtus.pro,1883502,,1,Orange.Neolution Esports,416900,,1,93712171,26316691,91931211,107644273,86840554,89330493,89871557,89249333,91644707,93616251,2041,637,150,1330,10
262650433,238322670,2,1375591450,2013-08-04,True,65006,The International 2013 Pass,2874380,Alliance,111474,,1,RaTtLeSnAkE. CN GaMiNg,496774,,1,41231571,41288955,101495620,3916428,76482434,89423756,89246836,99460568,88521435,89296893,1269,263,361,7417,10
263290556,238922575,2,1375633052,2013-08-04,False,65006,The International 2013 Pass,2874380,mousesports,26,,1,Team Dignitas,142,,1,4281729,86738694,86799300,31078647,21289303,5448108,38515149,40547474,87276347,10366616,1909,290,511,7302,10
263298375,238930867,2,1375633717,2013-08-04,True,65006,The International 2013 Pass,2874380,Fnatic,350190,,1,LGD-GAMING,15,,1,94155156,19672354,100317750,8712306,21265941,98878010,98887913,89371588,114239371,108382060,1921,495,283,6021,10
263297825,238939560,2,1375633735,2013-08-04,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,Invasion MUFC,497529,,1,87278757,89625472,70388657,82262664,86723143,89268488,91143798,80576254,86762037,96708830,2580,281,1397,17336,10
263300623,238938114,2,1375634217,2013-08-04,False,65006,The International 2013 Pass,2874380,Zenith,2,,1,DK,7,,1,84772440,93670407,82630959,121052479,85417034,90882159,90892734,89399750,91698091,89407113,1900,38,342,5250,10
263328756,238965414,2,1375636083,2013-08-04,False,65006,The International 2013 Pass,2874380,mousesports,26,,1,Team Dignitas,142,,1,4281729,86799300,86738694,31078647,21289303,5448108,38515149,40547474,87276347,10366616,2531,151,249,3075,10
263335409,238988590,2,1375636754,2013-08-04,False,65006,The International 2013 Pass,2874380,Fnatic,350190,,1,LGD-GAMING,15,,1,94155156,19672354,100317750,8712306,21265941,108382060,98887913,98878010,89371588,114239371,3801,163,573,12238,10
263346183,238966800,2,1375637582,2013-08-04,True,65006,The International 2013 Pass,2874380,Natus Vincere,36,,1,Invasion MUFC,497529,,1,87278757,89625472,70388657,82262664,86723143,80576254,91143798,89268488,96708830,86762037,1147,35,283,7619,10
